,trial_index,arm_name,trial_status,generation_method,power,x1,z1,x2,z2,x3,z3,x4,z4
0,0,0_0,COMPLETED,Manual,8492955.555555556,649.8031755874581,301.21049771406405,106.40308917630631,201.44160386899196,377.90421589740754,368.6879295462735,246.8050149050198,366.25894916591994
1,1,1_0,COMPLETED,Manual,11167149.444444444,543.8238246370722,241.08416442343835,151.7634886799294,87.0581350799314,496.88702531663716,530.8528876484343,377.3486102489114,600.1253975892088
2,2,2_0,COMPLETED,Manual,8112625.0,64.47433888125984,390.26397408386276,25.376000239642774,545.9824927090933,238.77271421739474,475.65485280717695,611.9000743002375,448.45015354245544
3,3,3_0,COMPLETED,Manual,11873858.333333334,364.22387665950407,612.1390194321726,389.775965771713,297.8090863831348,46.06812298941341,750.818700500554,96.47387725783304,423.9509096101469
4,4,4_0,COMPLETED,Manual,8858290.0,699.3299881262978,44.91912540856783,265.99910931889406,158.15280844536915,348.1828811859357,128.0872926908267,384.0455715784314,183.8455800818801
5,5,5_0,COMPLETED,Manual,13655981.111111112,613.9668432047687,743.6495012680929,698.2894095396634,468.6618112626621,668.9477837467784,388.09452087333165,733.3282539137659,20.0366939681072
6,6,6_0,COMPLETED,Manual,12149133.611111112,426.2076151395738,376.1374781222814,585.5862711796173,671.1384869225456,544.9349858994276,297.3385757676365,487.7004252487643,530.5775580157692
7,7,7_0,COMPLETED,Manual,10852691.111111112,293.6870894479701,476.73287496832836,490.810538014026,597.6052503102898,718.4357279321263,99.42630787308747,541.0670542479747,695.8682391172953
8,8,8_0,COMPLETED,Manual,8394340.277777778,59.90551288802531,168.29691562501424,659.6784620539783,717.6132952901908,186.1579460142631,677.1552973878729,185.405105740077,691.8534260062166
9,9,9_0,COMPLETED,Manual,9679911.666666666,483.2471653188875,666.7235011603697,323.563566231629,376.79179199613634,584.3201310169799,222.9993466503557,655.2636186971475,242.54593525704777
10,10,10_0,COMPLETED,Manual,12590755.555555556,138.34470037833455,102.00667483250035,225.96620118427154,27.32721929348378,298.2905316533095,601.9355990821505,306.2145010291779,270.4600304951355
11,11,11_0,COMPLETED,Manual,10803923.888888888,245.43068870974528,548.8671528955467,552.7063127197113,432.2954192351658,91.32020356010688,50.54351657485966,15.66138805872781,108.26481161148862
12,12,12_0,COMPLETED,Manual,11048751.666666666,251.76,251.76,503.52,251.76,251.76,503.52,503.52,503.52
13,13,13_0,COMPLETED,BoTorch,9606734.722222222,608.1000872243485,690.9840479022718,755.28,541.5628419399053,667.6657716573148,420.3203282789964,703.9475991676969,68.22074391693553
14,14,14_0,COMPLETED,BoTorch,11887889.166666666,653.3760335292914,755.28,711.0634914258482,370.09238444297176,694.3337602755513,377.6097695687975,755.28,0.0
15,15,15_0,COMPLETED,BoTorch,12066744.444444444,599.0382949425529,755.28,638.6139188458179,541.1167655667285,627.6757238271042,344.3202978122993,755.28,0.0
16,16,16_0,COMPLETED,BoTorch,11675036.111111112,521.9728972330256,755.28,699.123920202918,453.70650094237675,693.2057783027009,479.74849552642877,703.5757995350586,0.0
17,17,17_0,COMPLETED,BoTorch,11650257.5,635.0560434619122,755.28,658.8894749107648,458.31796128279757,653.857284499839,341.8541662693824,755.28,0.0
18,18,18_0,COMPLETED,BoTorch,11819625.833333334,579.8182841293971,755.28,722.899380637994,455.5336780191119,627.7346716977278,320.9483378618074,755.28,0.0
19,19,19_0,COMPLETED,BoTorch,10960286.388888888,213.53894428194664,164.3961015679135,262.418213696202,48.7469271376722,356.3727445414245,638.0472364406993,369.05388682875434,450.2383478014544
20,20,20_0,COMPLETED,BoTorch,11615369.444444444,702.643092452434,755.28,642.6917119904067,462.28664781497093,696.1092721954493,389.1886818153114,755.28,0.0
21,21,21_0,COMPLETED,BoTorch,9950872.5,647.899782188358,734.4337978088305,694.1899617989403,531.9110756883435,660.2970041719066,378.0535076670557,732.2806313083829,46.1454459337505
22,22,22_0,COMPLETED,BoTorch,10092683.888888888,597.7762997202593,670.3163854567961,694.1394054549833,485.6326931185631,651.2076724653921,365.9035703675606,689.2913204054116,51.15006749853367
23,23,23_0,COMPLETED,BoTorch,11564892.5,653.6370241394859,755.28,695.1423039020411,506.3304189130358,585.3235542227156,396.41686803384715,755.28,0.0
24,24,24_0,COMPLETED,BoTorch,11011424.722222222,604.6982253208838,755.28,695.1393280977229,519.8040517938774,747.6099567210923,365.7750347920189,755.28,11.181965061895722
25,25,25_0,COMPLETED,BoTorch,9508293.333333334,183.55225010801064,85.69743862696404,188.90809371302853,36.8626190995697,295.14823492530104,538.1015608943426,280.3838382066036,200.85928680285963
26,26,26_0,COMPLETED,BoTorch,10812555.277777778,585.4714359869212,755.28,714.3884971771084,453.23159488316554,650.8413966587174,400.8127932106145,733.168716845922,14.757110948324117
27,27,27_0,COMPLETED,BoTorch,11031531.388888888,563.5211252191148,755.28,648.4849203334478,461.895571761877,636.3766255498165,398.97323314252236,750.4711886553065,25.392588033468282
28,28,28_0,COMPLETED,BoTorch,12086863.611111112,604.2005603125488,755.0174861010847,755.28,450.222046882256,675.2292598378874,400.1440288168997,673.0645475432608,0.0
29,29,29_0,COMPLETED,BoTorch,11472328.055555556,614.6996796164358,755.28,672.5175493315584,439.12023984412383,638.3226994301687,378.1445225631424,755.28,2.342161820213811
30,30,30_0,COMPLETED,BoTorch,11678525.277777778,617.510165721627,755.28,665.1239753177599,432.64388994443726,661.2623934474808,445.4894776275555,752.5928226360694,0.0
31,31,31_0,COMPLETED,BoTorch,10439924.166666666,613.7721826170988,755.28,706.9795592270759,442.59309654670017,635.1351079228195,318.9121863071384,755.28,33.148533652806755
32,32,32_0,COMPLETED,BoTorch,11588634.444444444,614.5328629496668,755.28,617.1838559010071,452.2932368315615,643.1787638709993,367.6994831583162,690.1228498939755,0.0
33,33,33_0,COMPLETED,BoTorch,11788423.333333334,623.0328943742536,742.7190017647205,739.2614641677316,471.51025149148745,672.4857026438917,407.95151855524847,744.538049058065,4.072389420615856
34,34,34_0,COMPLETED,BoTorch,11610855.833333334,616.881048308174,747.4181749419911,746.582763213946,477.87696225644686,614.8327659696002,392.36533172827365,749.0804005109468,0.0
35,35,35_0,COMPLETED,BoTorch,11265492.777777778,112.45149204768437,117.69961705676731,253.88914191826726,22.26083341765556,304.58270561987126,648.5449899743394,328.57625749931844,331.3702665181149
36,36,36_0,COMPLETED,BoTorch,9832351.388888888,622.5644506466253,740.66203404163,709.2239061221584,468.11787577953174,724.4855346242623,405.06547860221605,742.2419925808044,61.93687644995943
37,37,37_0,COMPLETED,BoTorch,11126053.333333334,689.2651371319979,721.6739222769493,723.2405610750164,498.177751691925,726.1591988270239,361.74924068064837,721.0762244731304,20.361997413360342
38,38,38_0,COMPLETED,BoTorch,11047109.722222222,555.0188388243837,739.2679019019013,708.4712289732806,435.54648518830453,743.6771173860086,421.0186300677987,745.2815624041018,20.318875321898844
39,39,39_0,COMPLETED,BoTorch,11195657.222222222,641.4155982439063,751.7092730595014,678.7758191143951,488.92519560167267,577.6195269788418,361.30656099061196,720.440972391833,20.25476128954356
40,40,40_0,COMPLETED,BoTorch,10603055.555555556,663.4259736753872,755.28,648.9714429056003,526.4422205159736,679.8364962305036,456.24635004144477,755.28,20.15100114139754
41,41,41_0,COMPLETED,BoTorch,10709028.611111112,652.9368868050034,734.3937371291349,728.8017460718764,471.6189270084668,703.9029760632448,369.76340132845223,716.3649734622184,19.82957443632653
42,42,42_0,COMPLETED,BoTorch,10612541.666666666,653.6595415333232,715.7398556408801,723.6374619052131,471.71255627210456,655.2891104530852,443.6288810362678,755.28,19.598797709472652
43,43,43_0,COMPLETED,BoTorch,10756111.111111112,132.05775733697698,105.91412314980114,234.8333267695201,25.948670266598054,299.2369326388272,614.2746121867414,312.9490977845754,286.8976480516734
44,44,44_0,COMPLETED,BoTorch,11072865.833333334,589.5953744893219,755.28,695.0077089371299,471.69208648259973,699.3289299273694,321.8704265103383,685.6612551474283,18.72509326196756
45,45,45_0,COMPLETED,BoTorch,10902170.555555556,141.19482466690513,88.67210316628768,231.16871640234297,26.655470407589338,327.45752905561113,605.044195154239,320.0447146807439,261.7621555763152
46,46,46_0,COMPLETED,BoTorch,9733288.888888888,149.72209177259708,178.1441250121136,98.01404080334083,57.76706450133634,151.9749803380733,530.2878391355611,234.9026680116709,265.7993805438967
47,47,47_0,COMPLETED,BoTorch,10370098.055555556,615.0931541075857,728.9952044400626,713.487956331439,435.6978339774271,668.447745500761,480.5714888737956,736.8229120824096,20.672510169424978
48,48,48_0,COMPLETED,BoTorch,10776252.5,615.0201308278688,684.1311929811783,752.246972385129,502.66985756052486,641.7392546850913,383.10944029988633,755.28,20.58335551968926
49,49,49_0,COMPLETED,BoTorch,11175107.777777778,598.6494976718603,744.6462493664418,685.8278111548956,451.45995144691227,670.9162818432984,364.3364316085746,723.328249498168,20.76984056059925
50,50,50_0,COMPLETED,BoTorch,11113825.833333334,568.757521709853,755.28,740.8431099812966,514.3506755557764,671.0537810407693,367.4198268656208,728.9553413006474,20.983507173427363
51,51,51_0,COMPLETED,BoTorch,11284499.444444444,659.781402828742,746.322357389683,673.0144282135714,401.3469642038561,670.7038624892273,366.6624479967148,691.7513316230645,20.244044265031572
52,52,52_0,COMPLETED,BoTorch,10229593.611111112,561.7980077153691,702.2153881902726,628.4974906226454,445.67437084552887,670.7876077518688,368.04562801319025,755.28,20.57396604701811
53,53,53_0,COMPLETED,BoTorch,11415940.833333334,629.528661531614,755.28,701.2701446759808,421.74906915726996,709.1080207178984,387.13711593543934,700.6242447178394,20.160682929973238
54,54,54_0,COMPLETED,BoTorch,10732166.111111112,621.008285941762,755.28,698.2968670762069,534.0738067807188,706.1758358909218,387.54378104563256,736.0328839219245,20.57327638301517
55,55,55_0,COMPLETED,BoTorch,10774166.944444444,136.12141654484967,119.03580462505172,216.78025264204922,28.608786226674475,258.5113240985493,594.6272080978399,285.811782424215,278.0670250958025
56,56,56_0,COMPLETED,BoTorch,10207663.333333334,511.71203891280436,385.0845979013372,676.5087256338437,680.2650422709551,598.4465155145497,288.9880190383128,364.4952634217459,541.6856833179446
57,57,57_0,COMPLETED,BoTorch,10967125.0,611.39560866493,755.28,695.8812120335817,503.17206839230505,674.1371317562911,389.8865920264457,445.13314907441975,19.969143481379177
58,58,58_0,COMPLETED,BoTorch,10514995.277777778,630.6204157964776,752.3076049609195,700.2071164929208,433.8455552771789,673.5682205678555,389.2211208514537,735.3677382991095,17.51130221322406
59,59,59_0,COMPLETED,BoTorch,10408566.388888888,393.10176491824535,373.265105944212,553.4958355544144,700.0984075677087,516.863691815544,301.5432629688317,521.371136349969,525.025543334225
60,60,60_0,COMPLETED,BoTorch,11189769.166666666,584.5204540705287,755.28,755.28,318.8685003133123,619.7907811124287,343.5992764337626,675.5821489769049,0.0
61,61,61_0,COMPLETED,BoTorch,11514439.444444444,627.1747028536706,755.28,747.7882227820569,469.1950184198756,670.7726271967796,389.5559124346223,685.9515471292979,0.0
62,62,62_0,COMPLETED,BoTorch,10852252.222222222,144.53052922344958,98.07846950232822,214.92225565774737,28.56279036423934,299.585269724165,589.4835775510389,300.64186845762373,252.8568096888929
63,63,63_0,COMPLETED,BoTorch,10102160.0,409.3996602079615,374.3693676291012,565.9153244473038,650.5111535068277,538.1382518732474,298.5074015386238,521.2658964458697,529.132325810052
64,64,64_0,COMPLETED,BoTorch,10586790.555555556,151.51958606975288,52.37353465971449,245.7484672629358,37.73192315977588,297.77116125030307,594.303770921053,261.5266095666707,238.8147763209805
65,65,65_0,COMPLETED,BoTorch,10441057.777777778,608.0879372818957,755.28,697.3429477464894,471.25184913071956,672.6719876801648,371.38400705840974,722.9856206802187,20.472586233697992
66,66,66_0,COMPLETED,BoTorch,10513638.333333334,251.54766950227994,511.1803223120195,335.2163125476213,520.3631304872581,685.8947836166145,569.9071674295606,682.5676034995752,78.39227263258017
67,67,67_0,COMPLETED,BoTorch,11248156.388888888,95.9361974665007,154.75654315119183,261.94286376832304,22.198291519128748,309.1673573557626,666.1343635635411,337.53075558126,358.58619521015964
68,68,68_0,COMPLETED,BoTorch,10722391.111111112,629.7104527662718,755.28,657.6905476537023,470.2860620602043,672.4206249064407,431.36500949389443,702.7264052613868,19.864441792822927
69,69,69_0,RUNNING,BoTorch,,646.0995373997522,755.28,705.2552948697937,393.82271512858455,704.3919966194188,380.0347674290482,715.4070434095805,9.440861493680597
70,70,70_0,RUNNING,BoTorch,,600.2895689819576,755.28,652.1307756125306,519.7550869608126,624.9737929682068,346.5724182618137,748.4832356544788,3.562433465225232
71,71,71_0,RUNNING,BoTorch,,586.9520441442535,755.28,667.9513595377346,554.9099333733203,626.5275013837593,350.31346718229685,746.2714554254512,4.987931485642332
72,72,72_0,RUNNING,BoTorch,,542.4662303524211,755.28,699.3564527903148,458.13498577975014,556.4370967666113,331.0192213223058,752.1389536455379,0.5614680661346563
